Location,Temperature,Humidity,RainToday
Albury,22.9,22,No
Albury,25.1,25,No
Albury,25.7,30,No
Albury,28,16,No
Albury,32.3,33,No
Albury,29.7,23,No
Albury,25,19,No
Albury,26.7,19,No
Albury,31.9,9,No
Albury,30.1,27,Yes
Albury,30.4,22,No
Albury,21.7,91,Yes
Albury,18.6,93,Yes
Albury,21,43,Yes
Albury,24.6,32,No
Albury,27.7,28,NaN
Albury,20.9,82,No
Albury,22.9,65,Yes
Albury,22.5,32,Yes
Albury,25.6,26,No
Albury,29.3,28,No
Albury,33,28,No
Albury,31.8,24,No
Albury,30.9,23,No
Albury,32.4,17,No
Albury,33.9,19,No
Albury,33,28,No
Albury,32.7,15,No
Albury,27.2,22,No
Albury,24.2,70,Yes
Albury,24.4,28,No
Albury,26.5,26,No
Albury,23.9,22,No
Albury,28.8,22,No
Albury,34.6,12,No
Albury,35.8,9,No
Albury,37.9,8,No
Albury,38.9,12,No
Albury,28.3,15,No
Albury,28.4,16,No
Albury,30.8,24,No
Albury,32,31,No
Albury,34.7,16,No
Albury,37.7,19,No
Albury,43,8,No
Albury,32.7,28,No
Albury,26.7,20,No
Albury,28.4,16,No
Albury,32.2,17,No
Albury,36.6,10,No
Albury,39.9,21,No
Albury,38.1,17,No
Albury,34,39,No
Albury,35.2,28,Yes
Albury,30.6,21,No
Albury,34.3,10,No
Albury,38.4,12,No
Albury,38.2,25,No
Albury,40.7,15,No
Albury,41.5,13,No
Albury,42.9,11,No
Albury,42.7,11,No
Albury,43.1,9,No
Albury,38.3,21,No
Albury,37.7,21,No
Albury,36.9,26,No
Albury,41.2,15,No
Albury,42.2,8,No
Albury,44.8,11,No
Albury,40.2,19,No
Albury,31.2,31,No
Albury,27.3,30,No
Albury,26.7,24,No
Albury,21.6,69,No
Albury,29,21,Yes
Albury,29.2,18,No
Albury,31.3,23,No
Albury,31.1,22,No
Albury,28.8,17,No
Albury,32,22,No
Albury,34,16,No
Albury,29.1,39,No
Albury,31.7,19,No
Albury,33.2,23,No
Albury,34,10,No
Albury,29.6,14,No
Albury,31.9,16,No
Albury,32.7,19,No
Albury,32.6,25,No
Albury,34.5,14,No
Albury,30.3,27,No
Albury,31.9,25,No
Albury,31.1,35,No
Albury,22.1,26,No
Albury,22,33,No
Albury,24,23,No
Albury,27.9,22,No
Albury,30.2,20,No
Albury,31.8,28,No
Albury,32,25,No
Albury,30.5,23,Yes
Albury,25.7,90,No
Albury,25.8,68,Yes
Albury,27,74,Yes
Albury,19.7,41,Yes
Albury,21.9,34,No
Albury,25.3,34,No
Albury,28,19,No
Albury,30.1,15,No
Albury,33.5,13,No
Albury,33.6,17,No
Albury,30,30,No
Albury,31.6,25,No
Albury,31.9,20,No
Albury,22.3,78,No
Albury,29.8,26,Yes
Albury,27.6,30,No
Albury,28.9,26,No
Albury,31.2,18,No
Albury,30.4,16,No
Albury,29.9,25,No
Albury,30.6,22,No
Albury,32.1,30,No
Albury,28.1,49,Yes
Albury,21.4,33,Yes
Albury,21.7,37,No
Albury,21.4,20,No
Albury,22.5,27,No
Albury,24,30,No
Albury,25.7,27,No
Albury,26.7,42,No
Albury,24.9,47,Yes
Albury,24.2,52,Yes
Albury,25.4,35,No
Albury,25,39,No
Albury,21.9,27,No
Albury,20,30,No
Albury,21.6,39,No
Albury,23.4,37,No
Albury,23.9,33,No
Albury,22,29,No
Albury,21.4,39,No
Albury,22.7,33,No
Albury,22.9,34,No
Albury,16.2,86,No
Albury,15.8,89,Yes
Albury,12.9,62,Yes
Albury,11.5,79,Yes
Albury,14.5,48,Yes
Albury,12.2,46,No
Albury,16.5,38,No
Albury,17,44,No
Albury,19.2,49,No
Albury,18.9,51,No
Albury,19.1,44,No
Albury,18.8,47,No
Albury,19.3,49,No
Albury,18.4,49,No
Albury,19,36,No
Albury,20.5,45,No
Albury,19.5,40,No
Albury,17.7,53,No
Albury,18.5,49,No
Albury,15.1,61,No
Albury,16.3,59,No
Albury,16.6,63,No
Albury,16.4,54,Yes
Albury,15.6,61,No
Albury,19.7,34,No
Albury,19.1,51,No
Albury,18.6,57,No
Albury,19.8,48,No
Albury,19.8,43,No
Albury,22.9,37,No
Albury,21.1,43,No
Albury,20.3,50,No
Albury,18.1,74,Yes
Albury,16.2,58,No
Albury,15.7,48,No
Albury,16.5,44,No
Albury,16.8,44,No
Albury,17.1,46,No
Albury,14.3,75,Yes
Albury,13.4,75,Yes
Albury,14.3,97,Yes
Albury,17.4,58,Yes
Albury,16.1,57,No
Albury,10.5,91,No
Albury,11.6,80,Yes
Albury,12,79,Yes
Albury,8.8,95,Yes
Albury,10.5,56,Yes
Albury,9.6,72,No
Albury,8.2,72,No
Albury,12.4,60,No
Albury,15.8,49,No
Albury,14.9,63,No
Albury,17.7,49,No
Albury,15.9,52,No
Albury,14.7,63,No
Albury,15.3,56,No
Albury,17.3,56,No
Albury,17,71,Yes
Albury,14.9,78,Yes
Albury,15.5,70,No
Albury,14.1,65,Yes
Albury,12.2,75,No
Albury,13.7,73,Yes
Albury,11.9,81,No
Albury,12.3,76,Yes
Albury,15.7,69,Yes
Albury,16.1,73,Yes
Albury,13.3,68,Yes
Albury,11.6,74,Yes
Albury,12,62,Yes
Albury,13.2,76,No
Albury,12.4,56,No
Albury,12.1,65,No
Albury,12.5,46,No
Albury,13.8,54,No
Albury,15,54,No
Albury,13.5,62,No
Albury,13.3,63,No
Albury,16.5,53,No
Albury,13.1,73,No
Albury,11,75,Yes
Albury,12.6,57,Yes
Albury,13.4,57,No
Albury,14.4,52,No
Albury,12,64,No
Albury,14.1,65,No
Albury,16.5,53,No
Albury,17.7,46,No
Albury,12.3,81,No
Albury,13.5,58,Yes
Albury,12.9,58,No
Albury,12.2,61,No
Albury,9.8,74,No
Albury,8.8,91,No
Albury,12.7,71,Yes
Albury,13.2,81,Yes
Albury,12.1,76,No
Albury,14.5,61,Yes
Albury,13.9,70,No
Albury,14.1,65,No
Albury,13.8,49,No
Albury,14.7,53,No
Albury,13.8,76,Yes
Albury,17.1,58,No
Albury,13.9,47,No
Albury,12.9,50,Yes
Albury,12.2,48,No
Albury,14.8,60,No
Albury,17.7,59,No
